Wall time,Step,Value
1761696646.6114488,20000,0.699999988079071
1761696875.946933,40000,1.7000000476837158
1761697093.6183503,60000,1.2999999523162842
1761697342.105057,80000,1.100000023841858
1761697593.2831373,100000,1.5
1761697833.537249,120000,1.2999999523162842
1761698080.0382326,140000,2.700000047683716
1761698327.3300393,160000,1.5
1761698560.5961668,180000,2.0999999046325684
1761698788.6830997,200000,2.0999999046325684
1761699014.766248,220000,4.300000190734863
1761699243.5583937,240000,3.0999999046325684
1761699469.6907315,260000,2.9000000953674316
1761699697.9790297,280000,2.299999952316284
1761699927.821661,300000,2.5
1761700159.9351232,320000,1.899999976158142
1761700384.943379,340000,4.099999904632568
1761700609.107203,360000,2.299999952316284
1761700836.0358784,380000,2.9000000953674316
1761701062.4270916,400000,1.2999999523162842
1761701291.517409,420000,1.899999976158142
1761701521.0306208,440000,3.299999952316284
1761701754.4032085,460000,4.099999904632568
1761701986.4514992,480000,3.299999952316284
1761702216.1154535,500000,2.9000000953674316
1761702445.7835927,520000,3.9000000953674316
1761702677.673634,540000,4.099999904632568
1761702909.056567,560000,3.700000047683716
1761703139.519366,580000,1.7000000476837158
1761703370.7327664,600000,2.9000000953674316
1761703596.2086985,620000,1.7000000476837158
1761703825.340822,640000,3.9000000953674316
1761704052.8888578,660000,2.299999952316284
1761704282.567551,680000,4.099999904632568
1761704507.7246306,700000,2.9000000953674316
1761704725.1478543,720000,3.0999999046325684
1761704943.4052176,740000,2.299999952316284
1761705168.971696,760000,2.299999952316284
1761705396.7042115,780000,3.0999999046325684
1761705620.565369,800000,2.700000047683716
1761705844.4632847,820000,3.0999999046325684
1761706065.3157885,840000,1.899999976158142
1761706291.9688804,860000,3.0999999046325684
1761706515.9050777,880000,2.299999952316284
1761706727.530557,900000,2.700000047683716
1761706948.255049,920000,3.0999999046325684
1761707168.078011,940000,3.299999952316284
1761707390.5935688,960000,2.9000000953674316
1761707614.1367807,980000,3.5
1761707838.2708516,1000000,4.099999904632568
