Wall time,Step,Value
1761741948.0190105,20000,2.9000000953674316
1761742141.8853166,40000,3.7300000190734863
1761742337.039866,60000,2.640000104904175
1761742537.9937987,80000,2.930000066757202
1761742747.494722,100000,4.400000095367432
1761742961.8469636,120000,2.0799999237060547
1761743179.6794481,140000,2.549999952316284
1761743401.083909,160000,1.1799999475479126
1761743617.6220338,180000,2.3299999237060547
1761743841.065415,200000,3.0399999618530273
1761744067.5740154,220000,3.009999990463257
1761744285.7005796,240000,2.549999952316284
1761744513.2121716,260000,8.489999771118164
1761744735.6998284,280000,2.7100000381469727
1761744958.929475,300000,5.130000114440918
1761745190.8472033,320000,6.710000038146973
1761745414.267254,340000,2.4100000858306885
1761745637.2836661,360000,6.400000095367432
1761745856.5523512,380000,8.210000038146973
1761746074.9330668,400000,6.380000114440918
1761746298.2502315,420000,7.050000190734863
1761746527.3859725,440000,8.220000267028809
1761746756.852888,460000,7.050000190734863
1761746990.0480523,480000,6.610000133514404
1761747215.6406744,500000,7.869999885559082
1761747438.213144,520000,8.270000457763672
1761747658.790558,540000,7.53000020980835
1761747887.4028337,560000,6.5
1761748114.5185242,580000,10.350000381469727
1761748340.3645694,600000,6.230000019073486
1761748560.8027935,620000,3.950000047683716
1761748788.7118294,640000,6.789999961853027
1761749012.1612763,660000,6.449999809265137
1761749232.3438575,680000,7.360000133514404
1761749456.422888,700000,6.159999847412109
1761749679.640598,720000,5.0
1761749918.1965463,740000,7.510000228881836
1761750145.045506,760000,8.489999771118164
1761750368.6135266,780000,2.2899999618530273
1761750603.478518,800000,9.4399995803833
1761750857.7077796,820000,7.0
1761751109.7650704,840000,8.609999656677246
1761751359.7018063,860000,8.529999732971191
1761751603.7568054,880000,6.170000076293945
1761751841.3331187,900000,7.010000228881836
1761752080.444677,920000,6.639999866485596
1761752317.6153827,940000,9.289999961853027
1761752555.4674358,960000,5.5
1761752786.4062223,980000,14.109999656677246
1761753012.851319,1000000,7.400000095367432
