timestamp,step,mean_reward,std_reward,min_reward,max_reward,mean_length,std_length
2025-10-29T18:51:47.104057,10000,-0.7,0.4000000000000001,-0.9000000000000002,0.10000000000000003,181.0,35.87199464763564
2025-10-29T18:53:42.331252,20000,-0.9000000000000001,9.930136612989092e-17,-0.9000000000000001,-0.8999999999999999,181.4,17.76063061943466
2025-10-29T18:55:36.150296,30000,-0.9,1.1102230246251565e-16,-0.9000000000000001,-0.8999999999999999,156.6,43.733739835509155
2025-10-29T18:57:36.688952,40000,-0.5,0.8000000000000002,-0.9000000000000001,1.1000000000000003,160.2,32.725525205869495
2025-10-29T18:59:30.326828,50000,-0.10000000000000005,0.9797958971132713,-0.9000000000000001,1.1,180.0,32.397530770106535
2025-10-29T19:01:27.605587,60000,-0.29999999999999993,0.48989794855663565,-0.9000000000000001,0.10000000000000009,180.2,72.18697943535247
2025-10-29T19:03:28.913352,70000,-0.7,0.4000000000000001,-0.9,0.10000000000000006,207.2,36.71729837556135
2025-10-29T19:05:27.194988,80000,-0.9,1.3136335981433191e-16,-0.9000000000000002,-0.8999999999999999,172.4,19.744366285095097
2025-10-29T19:07:20.169318,90000,-0.29999999999999993,0.8,-0.9000000000000001,1.0999999999999999,224.8,60.39337712034326
2025-10-29T19:09:20.338549,100000,0.7,1.0198039027185568,-0.8999999999999999,2.099999999999999,191.4,16.788091017146648
