Wall time,Step,Value
1761753595.4321163,20000,171.60000610351562
1761753744.026161,40000,172.8000030517578
1761753899.6886468,60000,183.1999969482422
1761754056.8954897,80000,154.0
1761754216.9821255,100000,176.1999969482422
1761754382.3235166,120000,144.60000610351562
1761754543.1936553,140000,156.60000610351562
1761754706.6316786,160000,177.1999969482422
1761754866.9377885,180000,197.0
1761755034.470246,200000,137.60000610351562
1761755203.1284127,220000,174.0
1761755359.343496,240000,153.1999969482422
1761755519.8591118,260000,185.0
1761755687.5007277,280000,167.60000610351562
1761755850.172353,300000,200.39999389648438
1761756013.289189,320000,192.39999389648438
1761756175.0296562,340000,197.60000610351562
1761756341.8345864,360000,145.60000610351562
1761756505.7849236,380000,187.0
1761756664.8507307,400000,172.8000030517578
1761756826.497619,420000,172.8000030517578
1761756988.9783757,440000,181.39999389648438
1761757149.2270448,460000,179.0
1761757310.617367,480000,183.1999969482422
1761757472.4793212,500000,170.60000610351562
1761757631.9849608,520000,187.1999969482422
1761757798.3482392,540000,226.60000610351562
1761757963.0706906,560000,195.1999969482422
1761758123.7431955,580000,182.1999969482422
1761758290.0099864,600000,192.8000030517578
1761758454.8688595,620000,136.60000610351562
1761758614.0482595,640000,233.60000610351562
1761758774.5538344,660000,190.1999969482422
1761758935.4144385,680000,209.8000030517578
1761759097.0651622,700000,152.39999389648438
1761759268.1781192,720000,187.60000610351562
1761759434.9659307,740000,158.1999969482422
1761759601.2080715,760000,185.60000610351562
1761759766.0714679,780000,170.8000030517578
1761759929.8830051,800000,187.0
1761760094.011434,820000,207.60000610351562
1761760255.2762895,840000,148.0
1761760414.8249788,860000,174.0
1761760575.0483713,880000,188.39999389648438
1761760736.3418412,900000,154.39999389648438
1761760897.2303064,920000,156.39999389648438
1761761055.0506248,940000,168.0
1761761217.6311367,960000,127.5999984741211
1761761379.8722339,980000,199.0
1761761543.7893407,1000000,160.60000610351562
