Wall time,Step,Value
1761741948.0189502,20000,157.0
1761742141.8852665,40000,165.60000610351562
1761742337.0398116,60000,168.60000610351562
1761742537.9937541,80000,237.39999389648438
1761742747.494676,100000,252.1999969482422
1761742961.8469198,120000,164.39999389648438
1761743179.6794014,140000,118.5999984741211
1761743401.083869,160000,171.8000030517578
1761743617.6219833,180000,188.0
1761743841.0653698,200000,217.0
1761744067.5739772,220000,187.1999969482422
1761744285.700522,240000,192.60000610351562
1761744513.2121255,260000,215.1999969482422
1761744735.6997855,280000,206.60000610351562
1761744958.9294357,300000,201.1999969482422
1761745190.847163,320000,192.39999389648438
1761745414.2672093,340000,158.1999969482422
1761745637.2834857,360000,191.8000030517578
1761745856.5523102,380000,218.39999389648438
1761746074.9330153,400000,153.39999389648438
1761746298.2501926,420000,199.0
1761746527.385913,440000,171.1999969482422
1761746756.8528345,460000,218.39999389648438
1761746990.048003,480000,217.39999389648438
1761747215.640619,500000,181.39999389648438
1761747438.2130847,520000,214.0
1761747658.7905025,540000,183.1999969482422
1761747887.402789,560000,132.39999389648438
1761748114.5184867,580000,172.60000610351562
1761748340.364522,600000,195.0
1761748560.802748,620000,198.8000030517578
1761748788.711783,640000,188.60000610351562
1761749012.1611931,660000,215.8000030517578
1761749232.3438065,680000,209.60000610351562
1761749456.4228475,700000,158.8000030517578
1761749679.6405444,720000,189.8000030517578
1761749918.1964693,740000,197.60000610351562
1761750145.0454555,760000,189.1999969482422
1761750368.6134565,780000,189.8000030517578
1761750603.4784415,800000,204.39999389648438
1761750857.707733,820000,175.1999969482422
1761751109.7650266,840000,186.39999389648438
1761751359.7017646,860000,180.8000030517578
1761751603.7566884,880000,156.8000030517578
1761751841.333072,900000,185.0
1761752080.4446373,920000,173.0
1761752317.615296,940000,194.8000030517578
1761752555.4673882,960000,151.39999389648438
1761752786.4061666,980000,187.0
1761753012.851252,1000000,175.60000610351562
