Wall time,Step,Value
1761696646.6113935,20000,177.8000030517578
1761696875.946892,40000,191.60000610351562
1761697093.6182997,60000,212.0
1761697342.1049936,80000,161.60000610351562
1761697593.2830682,100000,180.60000610351562
1761697833.5371966,120000,162.0
1761698080.03819,140000,167.0
1761698327.329986,160000,170.8000030517578
1761698560.596122,180000,176.8000030517578
1761698788.6830556,200000,176.8000030517578
1761699014.7662055,220000,188.8000030517578
1761699243.558351,240000,160.8000030517578
1761699469.6906867,260000,158.39999389648438
1761699697.9789886,280000,173.39999389648438
1761699927.8215885,300000,213.60000610351562
1761700159.9350786,320000,182.60000610351562
1761700384.9433205,340000,188.8000030517578
1761700609.107163,360000,219.39999389648438
1761700836.035838,380000,183.8000030517578
1761701062.4270508,400000,205.8000030517578
1761701291.5173657,420000,200.8000030517578
1761701521.0305572,440000,187.0
1761701754.4031606,460000,175.60000610351562
1761701986.451416,480000,214.1999969482422
1761702216.1153975,500000,152.60000610351562
1761702445.783549,520000,190.0
1761702677.6735692,540000,196.39999389648438
1761702909.0564992,560000,177.60000610351562
1761703139.5192995,580000,156.39999389648438
1761703370.7327232,600000,189.0
1761703596.2086477,620000,170.60000610351562
1761703825.3407688,640000,191.1999969482422
1761704052.8888044,660000,161.60000610351562
1761704282.567479,680000,241.60000610351562
1761704507.724564,700000,182.39999389648438
1761704725.1477838,720000,176.0
1761704943.4051461,740000,166.60000610351562
1761705168.9716537,760000,162.60000610351562
1761705396.7041717,780000,179.60000610351562
1761705620.565327,800000,189.39999389648438
1761705844.4632454,820000,149.0
1761706065.3157434,840000,140.39999389648438
1761706291.9688232,860000,171.60000610351562
1761706515.9050353,880000,174.39999389648438
1761706727.5305147,900000,178.39999389648438
1761706948.2549906,920000,195.8000030517578
1761707168.0779676,940000,191.60000610351562
1761707390.5935245,960000,221.39999389648438
1761707614.136732,980000,180.8000030517578
1761707838.2708104,1000000,195.0
