#{"t_start": 1760637054.371827, "env_id": "None"}
r,l,t
2.1,32,15893.393975
6.100001,275,15897.716982
4.100001,240,15901.425088
4.1000004,232,15905.173105
4.1000004,238,15908.899093
4.100001,194,16011.99184
0.10000001,158,16015.12655
2.1,142,16017.728106
3.0999997,154,16020.471309
2.1,140,16023.060219
4.100001,219,16026.880908
2.1,223,16030.594809
3.0999997,156,16033.303757
2.0999997,205,16036.790705
4.1000004,248,16040.72655
3.1,231,16044.397783
3.0999997,176,16149.633732
0.099999994,37,16151.243747
3.1,149,16153.936403
3.0999997,165,16157.002317
5.100001,431,16162.697091
1.0999999,113,16165.341996
4.100001,237,16168.935771
4.1000004,206,16172.473696
2.1,206,16176.0433
3.0999994,203,16179.393464
4.100001,366,16287.594127
4.1000004,181,16290.655647
2.0999994,205,16293.990084
4.1000004,156,16296.898463
0.10000006,193,16300.213044
2.1,217,16303.722162
1.0999999,162,16306.737681
3.1,152,16310.013358
1.1,111,16312.279734
3.0999997,214,16315.993326
4.1000004,155,16318.809689
2.1,112,16321.14444
2.1,131,16425.27167
5.1000004,157,16428.178873
4.1000004,161,16431.081978
4.100001,216,16434.605974
1.0999998,164,16437.52031
1.0999998,157,16440.423688
3.0999997,149,16442.990929
4.1000004,134,16445.814488
1.0999998,155,16448.537532
3.1,136,16451.216307
1.0999999,153,16453.955382
4.100001,197,16457.363563
2.0999997,181,16460.589334
0.100000024,146,16565.802728
5.1000004,208,16569.255601
4.100001,271,16573.42895
1.0999998,179,16576.41917
4.1000004,180,16579.694133
2.1,185,16582.703516
4.1000004,207,16586.396721
4.0999994,209,16589.890153
2.0999997,176,16592.947165
5.100001,179,16596.105688
1.0999999,42,16597.710168
5.1000004,197,16708.155391
2.0999997,152,16710.959089
4.1000004,182,16714.089463
4.1000004,188,16717.533497
2.0999997,208,16721.03352
3.0999997,183,16724.077473
2.1,157,16727.127805
4.100001,254,16731.248147
4.1000004,137,16733.709739
3.0999997,205,16737.427359
3.1,264,16741.422613
2.1,160,16847.950371
3.1,137,16850.480837
4.100001,177,16853.532523
3.0999997,176,16856.918167
0.10000001,186,16860.004356
3.1,173,16862.953967
4.100001,161,16865.855219
3.1,245,16869.716933
3.0999994,150,16872.565341
4.0999994,131,16875.175385
5.1000004,195,16878.386867
4.100001,180,16982.310642
2.1,162,16985.320982
3.1,258,16989.219696
1.0999999,40,16990.949168
0.09999999,164,16993.777094
1.0999999,192,16997.227616
3.0999997,209,17000.697113
3.1,170,17003.555424
3.1,191,17007.117106
3.0999997,178,17010.645097
4.100001,213,17013.97796
3.0999997,128,17016.762904
3.1,204,17120.458032
2.0999997,54,17122.167257
1.0999999,168,17125.363755
1.0999998,167,17128.222394
2.1000001,155,17131.123799
3.0999997,159,17133.973785
1.0999998,119,17136.632317
3.1,172,17139.529359
6.1000004,145,17142.283226
2.1,95,17144.50043
1.0999998,197,17148.03561
3.0999994,166,17150.879917
2.1000009,432,17259.080789
2.1,169,17262.078847
6.100001,181,17265.401994
1.0999999,57,17267.24854
-0.9,38,17268.769741
1.0999999,204,17272.156976
0.100000024,165,17275.140006
4.1000004,149,17278.497512
3.0999997,154,17281.241364
6.100001,177,17284.380631
1.0999998,150,17287.291691
5.100001,150,17290.147755
5.100001,365,17295.166682
3.1000009,426,17401.236225
3.0999994,154,17404.647619
1.0999999,155,17407.741959
2.0999997,205,17411.51654
2.0999997,248,17415.462461
4.100001,195,17418.749251
2.1000009,425,17424.701377
2.1,174,17428.075461
1.0999998,230,17532.749425
2.1,174,17536.059797
4.1000004,215,17539.637327
2.0999997,189,17542.918017
1.0999998,164,17545.963387
1.0999998,159,17548.843718
3.1,165,17551.839705
2.0999997,185,17554.914265
1.0999999,174,17558.023658
4.1,185,17561.224749
3.0999997,231,17564.744107
2.1,147,17671.373153
3.0999997,204,17674.753675
2.1,138,17677.565906
2.0999997,163,17680.304355
1.0999998,118,17682.936098
2.1,197,17686.203155
3.1,242,17690.259201
4.1000004,187,17693.501941
3.0999994,98,17695.870061
4.100001,152,17698.761065
1.0999998,183,17701.767727
3.0999994,189,17706.358022
1.0999998,109,17808.606531
2.0999997,187,17812.172992
0.10000004,187,17815.317851
5.100001,220,17819.007824
1.0999999,160,17821.980058
3.0999992,177,17825.09552
5.1000004,151,17828.168055
1.0999998,221,17831.607968
3.1,164,17834.472805
4.100001,210,17838.08605
1.0999998,208,17841.634635
4.1000004,169,17944.406144
5.100001,214,17948.193665
4.1000004,199,17951.496842
3.1,169,17954.633025
3.0999997,156,17957.582193
4.1000004,157,17960.564026
1.0999998,199,17963.728375
5.100001,221,17967.412055
3.1,185,17970.581492
2.0999997,201,17973.761513
3.1,169,17976.787816
3.0999997,193,18082.931206
4.100001,225,18086.799963
5.1000004,179,18089.91786
0.10000007,136,18092.478033
2.1000001,261,18097.062286
0.10000001,148,18099.960917
0.10000003,54,18101.689643
4.100001,289,18106.066991
3.1,137,18108.630685
3.0999997,174,18111.786813
2.1,123,18114.280253
3.0999997,192,18117.751232
2.0999997,158,18222.076198
5.1000004,168,18225.109018
6.100001,226,18228.771698
4.1000004,141,18231.48575
5.100001,185,18234.636962
2.0999997,169,18237.683557
3.1,174,18240.746173
4.100001,178,18243.652805
4.1000004,197,18247.164705
3.0999997,162,18250.004814
4.1000004,174,18253.122006
0.10000007,108,18255.361085
4.1000004,212,18358.747487
5.1000004,176,18361.713642
1.0999999,140,18364.484702
6.1,197,18367.781415
4.1000004,153,18370.690259
7.1,237,18374.524794
4.100001,225,18378.164349
1.1,34,18379.843303
4.100001,157,18382.597044
6.100001,206,18386.100732
3.1,189,18389.403711
1.0999999,156,18392.041831
5.100001,155,18496.364939
1.1,210,18500.047073
3.1,233,18503.825974
3.1,198,18507.065163
6.100001,218,18510.625403
4.1000004,256,18514.503734
4.1,181,18517.72266
5.1000004,244,18521.616956
2.0999997,114,18524.133941
4.1000004,275,18528.339936
5.100001,190,18633.55948
-0.90000004,34,18635.086726
3.0999997,185,18638.293722
3.0999997,137,18640.800889
2.0999997,155,18643.628145
5.1,154,18646.417818
4.1000004,135,18649.200398
4.1,203,18652.365646
3.1,196,18655.598317
3.1,204,18659.264956
-0.9,36,18660.831813
2.0999994,132,18663.404609
0.10000007,52,18665.18086
1.0999998,121,18667.872829
3.0999994,136,18670.477959
1.0999998,112,18774.900562
4.100001,191,18778.429498
0.1,262,18782.457673
5.100001,181,18785.731239
3.0999997,218,18789.389871
3.0999997,190,18792.624611
5.1000004,169,18795.517689
3.0999997,186,18798.932876
3.0999997,170,18802.044679
3.1,195,18805.189931
4.1000004,312,18921.988526
5.1000004,169,18925.043597
3.1,235,18928.92912
3.1,141,18931.607321
1.0999998,175,18934.712871
4.100001,199,18938.102178
4.1000004,219,18941.622493
2.0999997,133,18944.338204
5.1000004,199,18947.706675
5.1000004,164,18950.799331
4.100001,432,19058.534542
1.0999999,143,19061.130971
2.0999997,165,19064.151731
5.100001,173,19067.17951
4.1000004,190,19072.621189
4.100001,240,19076.633133
4.100001,300,19081.26406
3.1,221,19085.312187
3.1,85,19087.679102
3.1,173,19090.744347
4.100001,190,19093.946849
1.1,220,19199.887807
1.0999998,193,19203.674695
2.0999997,180,19206.800505
1.0999998,254,19211.105478
4.1,169,19214.244326
1.0999999,153,19217.076407
3.0999997,215,19220.593298
3.1,151,19223.297207
3.0999997,162,19226.295087
3.1000001,260,19230.448525
6.100001,214,19336.308415
2.1,169,19339.599084
3.1,188,19343.196824
5.100001,218,19346.82113
-0.9,38,19348.682525
4.100001,271,19352.815215
4.1000004,174,19355.879228
3.1,169,19359.076112
3.0999994,163,19361.932369
1.0999998,91,19364.245167
4.0999994,336,19369.253739
3.1,164,19473.535481
7.100001,167,19476.509603
6.1,160,19479.616564
4.1,162,19482.621588
3.1,237,19486.363081
3.1,294,19490.979742
3.0999997,201,19494.547698
1.1,164,19497.768771
5.100001,166,19500.721315
3.1,165,19503.745818
3.1,260,19507.975704
3.0999997,185,19613.156646
4.1,165,19615.987046
3.1,160,19619.054744
1.0999999,151,19621.933106
2.1,176,19625.086339
3.1000001,151,19627.950865
3.1,226,19631.523618
6.100001,401,19637.054083
4.100001,155,19640.053786
3.1,171,19643.326879
3.1,146,19646.218426
-0.9,88,19750.949727
4.1000004,199,19754.324511
0.099999994,40,19755.990358
2.1,174,19759.2145
4.100001,178,19762.314785
5.1000004,216,19765.913969
2.0999997,147,19768.798154
3.0999997,170,19771.86339
2.1,203,19775.22014
4.1000004,160,19778.19691
4.100001,167,19781.307505
3.1,217,19785.008403
6.100001,242,19892.143703
2.1,150,19895.303887
4.1000004,202,19898.715601
0.10000007,163,19901.778163
5.100001,176,19904.825536
2.1,172,19907.975426
3.0999997,169,19911.137994
4.1000004,133,19913.725738
2.1,163,19916.758124
3.0999997,158,19919.632985
2.0999997,186,19922.915165
3.0999997,176,19925.996049
1.0999999,148,20030.738207
0.10000007,156,20033.560402
2.1000001,284,20037.98515
4.1000004,176,20041.107639
0.10000006,145,20043.848888
2.0999997,172,20046.9952
4.100001,159,20049.847212
0.10000011,136,20053.367258
1.0999998,159,20056.3094
1.1,170,20059.568688
3.1,165,20062.646178
-0.9,69,20064.609422
3.0999997,172,20168.736245
4.100001,182,20171.833472
0.10000001,166,20174.824694
3.0999994,172,20178.101938
1.0999999,157,20180.889108
0.10000009,156,20183.828084
0.10000005,153,20186.642519
1.0999998,201,20190.32273
-0.90000004,63,20192.201157
2.0999997,162,20195.103026
4.100001,219,20198.757691
6.100001,186,20202.062881
4.1000004,156,20205.647089
5.1000004,254,20317.977189
4.1,165,20320.988344
4.100001,160,20324.062697
5.100001,163,20326.869093
5.1000004,145,20329.941373
1.0999998,162,20332.729578
1.0999999,38,20334.374094
5.100001,208,20338.019357
2.1,174,20341.176308
5.1000004,163,20343.994764
0.100000024,48,20345.893391
1.0999998,182,20350.853751
-0.9,153,20353.751311
3.0999997,198,20460.201365
2.0999997,169,20463.277351
1.0999999,154,20465.989303
2.1,139,20468.847478
0.10000001,148,20471.571507
3.1000001,256,20475.475645
2.0999997,190,20478.88406
2.1,148,20481.559942
4.1,161,20484.449695
3.0999997,163,20487.287176
4.100001,169,20490.480208
3.1,164,20493.253082
3.0999997,152,20596.987718
2.1,221,20600.812875
1.0999998,161,20603.676733
2.0999997,155,20606.556661
4.1000004,168,20609.730351
2.0999994,262,20613.720669
5.1000004,186,20616.852597
1.0999999,141,20619.998745
2.0999997,197,20623.270537
2.1000009,391,20628.895363
2.0999997,172,20731.267436
2.1,131,20733.967781
1.0999999,168,20736.952392
2.0999997,206,20740.553046
3.0999997,151,20743.311852
2.1,157,20746.361584
2.1,190,20749.535678
1.0999999,252,20753.439743
3.1,209,20756.875209
3.0999997,160,20759.771605
2.0999994,168,20762.761759
3.1,148,20765.514156
3.1,198,20873.041128
2.0999997,133,20875.518338
1.1,212,20879.089605
2.1,165,20882.161256
3.1,143,20884.735228
2.1000001,106,20887.24538
3.1,149,20890.330509
3.0999997,184,20893.659319
2.0999997,199,20896.786344
5.100001,217,20900.361439
5.1000004,212,20903.932214
5.1000004,147,20906.502315
2.1,171,21012.504851
1.0999999,167,21015.6035
1.0999999,155,21018.463028
3.1000006,390,21023.801705
2.0999997,152,21026.613198
1.0999998,133,21029.434819
1.0999999,50,21031.08932
4.1,166,21034.118691
-0.9,39,21035.670098
1.0999998,144,21038.340579
4.1000004,225,21041.983523
2.0999997,191,21045.272992
2.1,253,21149.64389
-0.9,36,21151.392543
3.1,159,21154.401092
2.1,150,21157.045566
3.0999994,212,21160.78576
1.0999999,133,21163.32539
1.0999998,166,21166.216072
3.1,134,21168.89026
2.1,140,21171.72965
2.0999997,168,21174.70243
4.100001,159,21177.74511
0.10000014,169,21180.896155
1.0999999,143,21183.548681
5.100001,419,21290.19869
2.0999997,144,21292.801094
5.1,256,21296.756608
3.0999997,165,21299.928221
0.10000005,146,21302.642062
2.0999994,142,21305.367212
0.10000001,85,21307.432938
4.100001,179,21310.726484
2.1,142,21313.230753
2.0999997,170,21316.257269
4.100001,176,21319.433366
4.1000004,175,21423.564967
2.1,236,21427.119603
4.100001,425,21433.136694
3.0999997,156,21435.825039
4.1000004,166,21438.938941
2.0999997,149,21441.43748
3.1,194,21444.708141
2.0999997,139,21447.461291
3.1,154,21450.501578
2.0999997,121,21452.964792
3.1,162,21455.714417
1.0999998,183,21559.253823
2.1000009,387,21564.752291
3.1,89,21566.80278
4.1000004,140,21569.47564
3.1,146,21572.227359
1.0999999,170,21575.065976
3.1,137,21577.713002
-0.9,31,21579.281565
0.10000005,185,21582.614047
2.1,165,21585.582325
4.1000004,150,21588.363485
2.0999997,161,21591.285926
2.0999997,167,21594.280944
1.0999999,153,21696.741161
1.0999999,152,21699.604367
2.0999997,155,21702.489482
4.1,175,21705.561974
1.0999999,135,21707.982573
3.1,221,21711.68079
1.0999999,249,21715.319816
2.0999994,147,21718.155859
2.1,79,21720.257317
2.1,86,21722.474063
4.1000004,146,21725.028363
1.0999999,163,21728.042108
1.0999999,192,21731.432581
2.1000001,80,21833.955108
3.1,150,21837.007349
-0.9,40,21838.631271
1.0999999,144,21841.435078
5.100001,201,21844.821441
3.0999997,181,21848.163254
4.100001,158,21850.949493
1.0999999,194,21854.291295
3.0999997,185,21857.247368
1.0999998,185,21860.566792
3.1,163,21863.523504
4.1000004,264,21867.612741
2.1,180,21971.918877
2.1,237,21975.59132
5.100001,286,21979.967025
2.1,182,21982.913166
4.1000004,164,21985.944634
3.0999997,41,21987.572716
0.100000106,173,21990.613565
-0.9,51,21992.376538
3.1,175,21995.272782
4.100001,196,21998.550077
3.0999997,151,22001.423157
5.1,197,22004.594941
3.1000006,397,22113.059184
3.0999997,221,22116.661075
3.0999997,193,22119.869053
2.1,121,22122.360425
3.1,241,22125.858966
-0.9,70,22127.860321
2.0999997,125,22130.378801
2.1,168,22133.388188
4.1000004,215,22136.753044
3.0999994,201,22140.251278
2.1,153,22143.081927
3.1,164,22249.233226
4.100001,189,22252.81396
4.1000004,170,22255.744406
2.1,144,22258.455276
1.0999999,154,22261.329171
3.1,183,22264.403349
5.1000004,178,22267.351766
3.0999997,157,22270.368484
1.0999998,215,22273.850658
3.0999997,173,22276.701801
3.1,132,22279.469456
3.0999997,278,22283.789669
5.1000004,173,22387.188438
4.100001,164,22390.292699
2.0999997,161,22393.230068
4.1,200,22396.71864
3.1,140,22399.455302
5.100001,162,22402.404855
2.0999997,188,22405.440402
5.100001,170,22408.571712
1.0999998,186,22411.906319
3.1,168,22414.69215
4.0999994,187,22418.01026
3.1,211,22522.723101
5.1000004,164,22525.720761
2.1,236,22529.282436
4.1000004,205,22532.737743
4.100001,245,22536.58365
2.0999997,176,22539.639942
4.1000004,322,22544.298127
0.10000007,165,22547.288599
2.1000009,425,22553.058007
1.0999999,167,22656.689178
2.0999997,157,22659.725571
1.0999999,183,22662.965339
2.0999997,148,22665.616763
2.0999997,178,22668.686966
3.1,192,22671.998829
2.1,33,22673.635649
2.0999994,227,22677.171184
4.100001,171,22680.288058
2.1,241,22684.15764
2.0999997,183,22687.287849
2.0999997,138,22690.092077
2.0999997,231,22813.701354
1.0999998,179,22816.736856
3.1,172,22819.790495
2.1,136,22822.514428
0.09999995,62,22824.232283
3.1,174,22827.358582
4.100001,153,22830.065974
2.1,171,22833.069712
1.0999999,140,22835.619756
0.10000001,178,22838.684499
1.0999999,282,22843.002416
3.0999997,161,22845.893334
3.1,176,22950.777717
4.1000004,153,22953.646679
4.100001,183,22956.963763
3.1,217,22960.465305
3.1,142,22963.25471
4.1000004,159,22966.000779
3.0999992,194,22969.305205
3.1,164,22972.472829
4.1000004,214,22975.958561
4.100001,439,22982.267767
3.1,141,23086.498683
3.0999997,136,23089.003799
3.1,183,23092.411707
3.1,171,23095.194525
4.100001,203,23098.564192
1.0999999,140,23101.459027
2.1,219,23104.859409
0.10000004,106,23107.214021
2.0999994,180,23110.494143
3.0999994,191,23113.73271
4.1000004,193,23116.803417
3.0999997,171,23119.916749
4.1000004,157,23223.730081
4.1000004,200,23227.493444
0.100000024,171,23230.50971
3.1,212,23234.082048
2.0999997,179,23237.148287
5.1000004,148,23239.774723
2.0999997,148,23242.889038
3.0999997,160,23245.72676
3.1,126,23248.352186
1.0999998,178,23251.49343
2.1,173,23254.616126
4.100001,190,23258.12643
2.1,137,23363.450361
0.10000011,126,23365.903358
1.0999999,140,23368.678956
4.100001,168,23371.589025
4.1000004,228,23375.150406
2.0999997,142,23377.801433
4.100001,179,23381.22625
3.1000006,423,23387.122453
1.0999999,149,23390.173837
4.1000004,142,23392.910332
4.1000004,135,23395.488014
3.0999997,206,23398.878077
3.0999997,189,23504.697691
2.1,175,23507.810344
1.0999999,181,23511.153754
3.1,169,23514.179745
5.1000004,184,23517.215515
5.100001,198,23520.592222
2.0999992,229,23524.312521
3.0999997,189,23527.469858
2.1,183,23530.768105
2.0999997,46,23532.529565
3.0999994,209,23535.991507
2.0999997,165,23641.579882
2.0999997,183,23645.03318
4.100001,178,23647.992526
2.0999997,151,23650.957046
4.1000004,142,23653.612855
3.1,224,23657.143461
3.0999997,148,23659.990572
2.1000006,378,23665.446225
2.0999992,215,23669.055586
2.0999997,179,23672.201569
6.100001,282,23777.78206
2.1,172,23780.822087
3.1,135,23783.465012
0.10000001,137,23786.09335
2.1,254,23790.081585
1.0999999,144,23792.923339
2.0999997,127,23795.432756
4.1,98,23797.519436
2.0999997,141,23800.378809
5.1000004,154,23803.181294
3.0999997,182,23807.084884
4.1000004,184,23810.643996
4.100001,150,23813.457838
3.1,164,23924.297322
4.1,151,23926.939286
5.1000004,148,23929.738881
3.1,134,23932.626466
3.1,143,23935.453505
3.0999997,156,23938.154394
4.1000004,161,23941.323802
1.0999998,210,23944.667375
3.0999997,229,23948.534617
1.0999999,151,23951.538778
0.100000024,167,23954.410191
1.0999999,188,23957.693886
4.1000004,144,24066.250088
2.1,215,24069.855523
0.10000005,37,24071.54581
3.1,163,24074.437745
2.1,143,24077.007747
5.1000004,164,24080.03118
1.0999999,136,24082.680066
4.1000004,195,24086.066832
5.100001,438,24092.829648
2.0999997,165,24095.718749
2.1000009,425,24203.711426
1.0999999,90,24206.136642
2.1,211,24209.599698
2.1,139,24212.405159
3.0999997,237,24216.120579
1.0999999,160,24218.879988
1.1,120,24221.36702
3.0999997,216,24224.932999
0.100000024,36,24226.518108
0.10000007,187,24229.782015
5.100001,268,24233.985582
1.0999999,151,24236.737796
3.0999994,155,24239.59544
1.0999998,129,24343.521598
2.1000001,278,24347.812118
2.0999992,177,24351.064135
5.1000004,180,24354.135541
2.0999994,148,24356.970858
-0.9,37,24358.603919
1.0999998,255,24362.621067
5.1000004,170,24365.525418
2.1,42,24367.126334
4.100001,179,24370.127934
0.10000003,230,24374.028903
3.0999997,129,24376.595432
4.100001,150,24481.319634
2.0999997,178,24484.597062
-0.9,13,24485.903687
3.1,285,24490.039748
0.099999994,40,24491.755003
4.1000004,178,24495.047556
0.10000004,177,24498.358742
5.1000004,169,24501.717229
3.1,209,24505.153293
4.1000004,139,24507.835453
2.1000009,398,24513.589415
5.100001,233,24621.342304
2.1,153,24624.405839
1.0999999,140,24627.019999
5.1000004,178,24630.055038
5.100001,432,24636.003408
1.0999998,191,24639.396246
2.1,132,24641.993049
7.100001,161,24645.057064
-0.90000004,40,24646.570661
3.0999994,192,24650.031586
1.1,144,24653.053489
4.1000004,169,24656.546197
2.1,197,24759.456901
2.0999997,175,24762.876431
4.1000004,218,24766.318189
2.1,248,24770.242928
3.1,146,24773.280637
1.0999998,117,24775.75884
0.10000013,146,24778.349877
3.1,137,24781.19821
2.1,147,24783.960916
2.0999997,163,24786.968101
1.1,184,24790.045538
1.0999998,140,24792.850684
2.1,158,24897.814566
1.0999998,256,24902.051534
2.1,160,24905.071087
-0.9,38,24906.688968
4.1000004,143,24909.281315
3.1,146,24912.142799
4.1,141,24914.830377
3.1,164,24917.79136
2.0999994,172,24920.698383
3.1,148,24923.703406
0.10000005,38,24925.307806
1.1,186,24928.470595
2.0999997,226,24932.136744
4.1,143,24934.944816
3.1,92,25036.048748
4.1,212,25039.744478
8.1,268,25044.011778
1.0999998,207,25047.452359
3.0999997,270,25051.692812
2.0999997,161,25054.763588
0.10000006,126,25057.139736
4.100001,181,25060.230907
3.1,251,25064.456776
5.1000004,190,25067.545685
4.1000004,198,25171.54577
3.1,146,25174.277546
4.1000004,221,25177.948563
2.1,204,25181.659773
3.099999,219,25185.390093
4.100001,142,25188.098871
1.0999999,35,25189.677967
2.1,158,25192.670239
2.1,157,25195.388294
3.0999997,199,25198.754638
2.1,140,25201.234945
0.10000001,163,25204.975346
4.1000004,186,25208.483692
2.1,61,25310.471851
4.1,218,25314.326276
2.0999997,152,25317.196833
3.1,229,25320.738902
1.0999999,153,25323.737504
7.100001,277,25327.933429
2.1,139,25330.522864
3.1,187,25334.063799
3.1,153,25336.803151
3.1,121,25339.380459
3.0999997,225,25343.113599
3.1,169,25449.175696
3.1,163,25452.055715
4.1,157,25455.123811
5.1000004,187,25458.360595
4.1,202,25461.687136
4.1000004,166,25464.751601
3.0999997,83,25466.78581
3.1,206,25470.352498
6.1000004,140,25473.071683
1.0999999,186,25476.318158
1.0999998,83,25478.309661
6.1000004,185,25481.479784
2.0999997,193,25485.114074
1.0999999,134,25588.372413
3.1,159,25591.230819
2.0999997,63,25593.273996
5.100001,172,25596.372363
1.0999999,141,25598.958732
1.0999998,220,25602.600623
2.1,165,25605.68758
3.1,143,25608.395279
1.0999999,222,25612.155175
2.0999997,166,25615.29344
5.1,168,25618.193288
3.1,145,25621.131245
4.1000004,189,25624.376297
-0.9,35,25626.102732
4.1000004,221,25730.692975
3.0999997,170,25733.800881
4.100001,184,25737.111168
4.100001,166,25740.214807
2.0999997,137,25742.908892
1.0999998,230,25746.856898
3.0999994,231,25750.725423
5.100001,246,25754.823463
3.0999997,105,25757.269249
3.0999997,144,25760.132994
3.0999997,189,25763.318007
3.0999997,170,25869.599657
4.1000004,173,25872.865177
2.0999997,154,25875.803404
6.1,229,25879.462178
3.1,142,25882.422867
4.100001,185,25885.65879
2.0999997,144,25888.500979
1.0999999,175,25891.46999
3.1,189,25894.821131
1.0999998,202,25898.213341
1.0999999,166,25901.098272
3.0999994,194,26007.727636
3.1,181,26010.939456
3.0999997,186,26014.511386
3.0999994,162,26017.39115
2.1,167,26020.477306
1.0999999,37,26022.018851
0.10000003,227,26025.881641
4.100001,164,26028.691732
1.0999998,204,26032.168059
2.0999997,204,26035.63048
0.10000001,142,26038.335945
3.0999997,178,26041.598057
2.1,169,26146.365351
3.1,174,26149.731347
1.0999998,174,26152.794041
4.1000004,141,26155.62386
2.1,209,26158.867119
2.0999997,161,26161.846154
0.10000001,48,26163.655661
2.1,137,26166.492662
0.100000024,37,26168.030499
3.0999997,105,26170.324458
-0.9,51,26172.126514
3.1,221,26175.954683
2.0999997,134,26178.630292
1.0999999,142,26181.291496
3.0999997,188,26184.660249
2.1,164,26289.678381
1.0999998,130,26292.599908
3.0999994,185,26296.030744
3.0999997,129,26298.645819
-0.9,37,26300.292523
4.1000004,202,26304.307492
5.100001,167,26307.349304
6.100001,131,26309.944681
2.1,141,26312.762863
2.1,162,26315.893581
1.0999998,170,26318.733747
3.1,143,26321.517289
-0.9,38,26323.303481
1.0999998,160,26326.219005
2.1,158,26329.167025
3.1,231,26434.392643
5.1000004,130,26437.189091
5.1000004,142,26439.919787
5.100001,222,26443.692121
3.0999997,185,26446.977853
4.1,168,26450.117522
-0.9,39,26451.738599
3.1,168,26455.007046
3.1,142,26457.658682
5.100001,179,26460.811058
3.0999994,147,26463.717399
3.1,171,26466.863011
2.0999997,181,26573.70609
5.1000004,141,26576.801144
3.0999997,160,26579.776865
2.1,152,26582.762182
2.0999997,159,26585.595535
4.100001,179,26588.798465
4.100001,185,26592.04556
5.1,133,26594.751668
2.1,164,26597.788694
3.0999997,180,26600.904803
1.0999999,143,26603.778984
1.0999999,166,26606.741802
2.0999997,174,26609.919258
5.0999994,137,26715.720982
2.1,131,26718.424802
4.100001,161,26721.455312
1.0999999,43,26723.26173
5.1000004,231,26727.142692
3.1,162,26730.120647
3.1,138,26732.861384
3.1000004,358,26737.856312
0.100000024,34,26739.452734
1.0999998,165,26742.577951
1.0999998,126,26745.184175
3.0999997,148,26748.101248
5.100001,173,26751.283755
0.10000001,185,26856.933045
2.1,147,26859.662609
-0.9,51,26861.456902
3.1,148,26864.38629
4.1,124,26866.92226
2.1,143,26869.703519
2.1,161,26872.720608
3.0999997,171,26875.841941
2.1,157,26878.71268
2.0999997,100,26880.973604
2.1,73,26882.993688
2.0999994,124,26885.59548
3.1,233,26889.198867
4.1,187,26892.537324
1.0999999,149,26895.594383
3.1,146,26999.159324
3.0999997,159,27002.010309
2.0999994,195,27006.223455
3.1,145,27009.220618
3.1,140,27012.01149
0.1,157,27015.048746
5.1,131,27017.6139
5.100001,176,27020.587686
3.1,185,27023.845831
5.1000004,180,27027.042565
3.0999997,183,27030.105795
3.0999997,170,27033.406975
4.100001,152,27138.023711
1.0999999,181,27141.358366
3.1,172,27144.452572
1.0999998,174,27147.572646
3.0999997,182,27150.835329
1.0999999,199,27154.129807
3.1,152,27157.125698
5.1000004,217,27160.53491
2.1,141,27163.502504
5.100001,172,27166.447506
1.0999999,141,27169.239195
2.0999997,164,27172.189392
4.100001,149,27279.240854
4.1000004,142,27281.939676
2.1,193,27285.562745
5.100001,177,27288.618573
3.1,146,27291.510636
1.0999998,180,27294.653816
4.100001,389,27299.97508
3.0999997,213,27303.522303
0.10000004,205,27307.051741
4.100001,216,27310.676481
1.0999998,177,27417.02916
5.1000004,166,27420.164503
3.1,140,27422.832196
2.0999997,152,27426.027792
2.1,145,27428.656348
3.1,184,27432.100792
4.100001,149,27435.50267
3.1,142,27438.461871
1.0999998,139,27441.224127
2.0999997,210,27444.681243
4.100001,160,27447.683496
2.0999994,200,27451.180768
5.1000004,187,27454.394598
5.1000004,186,27564.478416
4.1000004,186,27567.755694
2.0999997,168,27570.792872
3.1,145,27573.653046
4.1000004,188,27577.265773
0.10000001,141,27579.869715
2.0999997,190,27583.221595
4.100001,165,27586.459374
5.100001,156,27589.242228
4.100001,265,27593.316522
5.1000004,253,27597.514844
3.1,187,27705.994016
3.1,212,27709.370794
4.1000004,237,27713.239442
4.100001,147,27716.226082
2.1,215,27719.7079
4.100001,202,27724.272601
4.1000004,269,27728.350359
2.1,169,27731.289658
4.100001,138,27734.042063
2.0999997,177,27737.348895
1.0999998,149,27740.100111
3.1,165,27846.102426
3.1,133,27848.876226
5.1,189,27852.129265
2.0999997,164,27855.113428
2.1,152,27858.126823
2.1,133,27860.673733
1.0999998,38,27862.348233
4.1,201,27865.973461
-0.9,43,27867.61946
4.1000004,185,27870.858429
5.100001,219,27874.492509
-0.9,35,27876.267864
3.1,149,27878.947122
4.100001,165,27881.961308
2.1,163,27986.767157
4.1000004,147,27989.593237
1.0999998,194,27993.056551
3.0999997,202,27996.67877
4.1000004,149,27999.331884
5.100001,206,28002.801685
4.100001,159,28005.759168
1.0999998,160,28008.729879
3.1,141,28011.357626
5.100001,260,28015.455099
2.0999994,139,28018.204514
4.100001,189,28021.551659
3.1,140,28126.50534
3.0999994,144,28130.006664
2.1000006,398,28135.898437
2.1,206,28139.23065
3.1,219,28142.85475
7.100001,295,28147.562559
4.100001,233,28151.233871
1.1,237,28155.160382
4.100001,179,28158.145642
1.0999999,37,28265.036175
3.1,141,28267.838488
4.0999994,153,28270.610089
2.0999997,154,28273.526916
4.1000004,159,28276.511013
3.0999997,156,28279.571963
3.1,167,28282.512096
3.1,166,28285.656176
5.1,152,28288.361812
5.1000004,148,28291.288777
2.1,239,28295.711611
2.0999997,150,28298.434435
1.0999998,171,28301.488457
