#{"t_start": 1760637054.371827, "env_id": "None"}
r,l,t
5.100001,249,5943.497237
4.1000004,173,5947.998635
3.1,177,5952.163822
4.100001,150,5955.922415
5.100001,122,5959.172738
3.1,197,5963.587314
4.100001,324,6093.852968
0.100000024,101,6096.896941
3.0999997,104,6100.33041
2.1,169,6104.289902
3.1,214,6109.547959
5.100001,163,6113.210494
4.100001,161,6121.369849
4.1000004,165,6125.669325
3.1,227,6130.594534
3.1,174,6135.693588
0.10000004,95,6138.590827
3.0999994,179,6142.761491
2.0999997,209,6145.624624
3.1000001,138,6270.04807
1.0999998,152,6274.069193
4.100001,161,6278.361012
6.100001,208,6283.257922
2.1,165,6287.2037
2.0999997,225,6292.487036
4.1000004,195,6297.730639
3.1,167,6301.588542
2.1,251,6306.523428
3.1,151,6310.078297
2.1,141,6313.345599
4.100001,186,6444.479825
2.0999997,203,6449.355312
5.100001,186,6453.881256
3.1,175,6458.562929
2.1,239,6464.231949
-0.9,40,6466.632211
2.1,181,6469.533657
4.1000004,188,6473.965998
5.100001,192,6478.612483
-0.9,52,6481.206601
3.0999997,154,6485.008659
4.1,223,6490.51392
4.100001,186,6615.948114
2.1,150,6620.104929
4.1000004,200,6623.205523
2.1,330,6630.298145
3.1,434,6639.073054
3.0999997,159,6643.85576
4.100001,187,6648.761266
3.0999997,193,6653.272074
4.100001,248,6657.02232
5.100001,165,6780.225839
2.0999997,195,6784.789554
1.1,210,6789.787008
4.1000004,146,6793.519557
4.1000004,204,6798.347002
4.100001,187,6802.993128
3.0999997,179,6807.509417
1.0999998,225,6812.592784
1.0999999,174,6816.989233
2.1000001,161,6820.921976
6.1000004,161,6822.439069
3.0999997,196,6948.667771
2.1,149,6952.428591
2.1,142,6955.73814
2.0999997,146,6959.728597
2.1,203,6964.223408
1.0999999,164,6968.108514
4.1000004,160,6972.002519
3.1,179,6976.36063
3.0999997,212,6981.375385
3.0999997,190,6985.803189
1.0999999,194,6990.534141
2.0999997,191,6994.552907
4.1000004,149,7115.68555
0.10000004,201,7120.241424
4.1000004,166,7124.208828
3.0999994,93,7127.057983
3.0999997,139,7130.682533
5.1000004,248,7135.821256
2.1,182,7140.485512
3.1,156,7144.342338
1.0999999,184,7148.374658
2.1000001,255,7153.710114
1.1,114,7156.679261
3.1,150,7160.689
4.1000004,155,7290.566478
3.0999997,169,7296.359926
3.1,153,7300.826077
3.0999997,158,7304.603625
1.1,194,7310.914131
5.1000004,150,7314.830403
5.1000004,195,7319.562714
1.0999998,183,7326.476018
1.0999998,282,7334.617074
4.100001,198,7342.194838
3.1,159,7347.562778
5.1000004,190,7470.536174
1.0999999,50,7472.862578
1.0999998,347,7479.153726
2.0999997,118,7482.320333
4.1000004,187,7486.553766
4.100001,204,7491.019467
0.100000024,40,7492.950916
-0.9,32,7494.785211
1.0999998,180,7498.888647
5.100001,167,7502.715268
2.1,42,7504.93065
5.100001,163,7508.841652
-0.9,40,7510.796722
6.100001,215,7515.838552
0.10000006,334,7639.782982
3.1,144,7643.244321
5.1000004,222,7647.998566
5.100001,229,7652.722811
2.0999997,140,7656.12081
2.0999992,140,7659.471788
4.100001,170,7663.511
1.0999998,184,7667.651532
4.1000004,130,7670.888365
1.0999998,371,7680.674083
3.0999997,184,7685.849797
0.10000007,202,7809.617915
3.1,187,7813.694181
1.0999999,32,7815.65085
1.0999999,164,7819.547738
4.1000004,173,7823.409401
3.1,147,7826.722983
2.0999997,145,7830.278763
4.100001,205,7834.68389
1.1,38,7836.634153
4.1000004,181,7840.721735
2.0999997,165,7844.470834
4.100001,179,7848.494306
2.0999997,193,7852.645687
2.0999997,164,7976.963247
3.1,152,7980.77076
4.100001,58,7983.190675
1.0999998,142,7986.685413
3.1,169,7990.957991
3.0999994,164,7994.906354
2.1,225,7999.699378
4.1000004,138,8003.194754
5.100001,153,8006.875124
4.1,172,8011.172972
4.1000004,142,8014.703132
2.0999997,145,8018.282797
4.1000004,158,8022.225418
4.1000004,175,8143.421
-0.9,43,8145.511091
5.100001,175,8149.904101
4.100001,151,8153.378395
1.0999998,195,8157.688503
4.100001,383,8165.069469
2.1,216,8170.145012
5.100001,180,8174.330348
6.1000004,215,8179.077775
2.1,149,8182.6169
4.100001,186,8187.544547
5.1000004,194,8314.334206
5.100001,235,8319.570904
3.0999997,150,8323.32965
3.0999997,154,8327.24178
2.0999997,154,8331.26719
